"Title","Trade in Goods (T): WW: Exports: BOP: CP: NSA"
"CDID","LQAD"
"Source dataset ID","MRET"
"PreUnit",""
"Unit",""
"Release date","11-04-2025"
"Next release","15 May 2025"
"Important notes",
"1997","169527"
"1998","163776"
"1999","166343"
"2000","186824"
"2001","190682"
"2002","187459"
"2003","187883"
"2004","191062"
"2005","212494"
"2006","246418"
"2007","222825"
"2008","252593"
"2009","227951"
"2010","265896"
"2011","302569"
"2012","298431"
"2013","299730"
"2014","289173"
"2015","280904"
"2016","299398"
"2017","339925"
"2018","354004"
"2019","368203"
"2020","313750"
"2021","332135"
"2022","434123"
"2023","395401"
"2024","365657"
"1997 Q1","41789"
"1997 Q2","42582"
"1997 Q3","40911"
"1997 Q4","44245"
"1998 Q1","41553"
"1998 Q2","41080"
"1998 Q3","39642"
"1998 Q4","41501"
"1999 Q1","39013"
"1999 Q2","40250"
"1999 Q3","42221"
"1999 Q4","44859"
"2000 Q1","44818"
"2000 Q2","46104"
"2000 Q3","45665"
"2000 Q4","50237"
"2001 Q1","50073"
"2001 Q2","48106"
"2001 Q3","45271"
"2001 Q4","47232"
"2002 Q1","46097"
"2002 Q2","49701"
"2002 Q3","46100"
"2002 Q4","45561"
"2003 Q1","47350"
"2003 Q2","46715"
"2003 Q3","45394"
"2003 Q4","48424"
"2004 Q1","45202"
"2004 Q2","46897"
"2004 Q3","47505"
"2004 Q4","51458"
"2005 Q1","47409"
"2005 Q2","53080"
"2005 Q3","53633"
"2005 Q4","58372"
"2006 Q1","65551"
"2006 Q2","70833"
"2006 Q3","54587"
"2006 Q4","55447"
"2007 Q1","53097"
"2007 Q2","56344"
"2007 Q3","54010"
"2007 Q4","59374"
"2008 Q1","59716"
"2008 Q2","66176"
"2008 Q3","65424"
"2008 Q4","61277"
"2009 Q1","54722"
"2009 Q2","54817"
"2009 Q3","55974"
"2009 Q4","62438"
"2010 Q1","62174"
"2010 Q2","67111"
"2010 Q3","65651"
"2010 Q4","70960"
"2011 Q1","75936"
"2011 Q2","74856"
"2011 Q3","73309"
"2011 Q4","78468"
"2012 Q1","78131"
"2012 Q2","72871"
"2012 Q3","72766"
"2012 Q4","74663"
"2013 Q1","73651"
"2013 Q2","76233"
"2013 Q3","74733"
"2013 Q4","75113"
"2014 Q1","72148"
"2014 Q2","73763"
"2014 Q3","69311"
"2014 Q4","73951"
"2015 Q1","69214"
"2015 Q2","73593"
"2015 Q3","66986"
"2015 Q4","71111"
"2016 Q1","69497"
"2016 Q2","75011"
"2016 Q3","72252"
"2016 Q4","82638"
"2017 Q1","84044"
"2017 Q2","85290"
"2017 Q3","82616"
"2017 Q4","87975"
"2018 Q1","85648"
"2018 Q2","88160"
"2018 Q3","88738"
"2018 Q4","91458"
"2019 Q1","90548"
"2019 Q2","83591"
"2019 Q3","90998"
"2019 Q4","103066"
"2020 Q1","84112"
"2020 Q2","71527"
"2020 Q3","73406"
"2020 Q4","84705"
"2021 Q1","74337"
"2021 Q2","83379"
"2021 Q3","78193"
"2021 Q4","96226"
"2022 Q1","90314"
"2022 Q2","99053"
"2022 Q3","119948"
"2022 Q4","124808"
"2023 Q1","102147"
"2023 Q2","98422"
"2023 Q3","93203"
"2023 Q4","101629"
"2024 Q1","94047"
"2024 Q2","91549"
"2024 Q3","90352"
"2024 Q4","89709"
"1997 JAN","14137"
"1997 FEB","13580"
"1997 MAR","14072"
"1997 APR","14713"
"1997 MAY","13895"
"1997 JUN","13974"
"1997 JUL","14155"
"1997 AUG","12175"
"1997 SEP","14581"
"1997 OCT","15490"
"1997 NOV","13967"
"1997 DEC","14788"
"1998 JAN","13108"
"1998 FEB","13362"
"1998 MAR","15083"
"1998 APR","13466"
"1998 MAY","13236"
"1998 JUN","14378"
"1998 JUL","13873"
"1998 AUG","11847"
"1998 SEP","13922"
